stop_id,stop_name,stop_url,stop_timezone,stop_lat,stop_lon
ANA,Anaheim,https://www.amtrak.com/stations/ana,America/Los_Angeles,33.803803,-117.877308
AND,Andes Amtrak Bus Stop,https://www.amtrak.com/stations/and,America/New_York,42.189663,-74.78446
APP,Appleton Amtrak Station,https://www.amtrak.com/stations/app,America/Chicago,44.263311,-88.405852
ARB,Ann Arbor Amtrak Station,https://www.amtrak.com/stations/arb,America/New_York,42.287692,-83.743154
ARC,Arcata,https://www.amtrak.com/stations/arc,America/Los_Angeles,40.868633,-124.083805
ARD,Ardmore Amtrak Station,https://www.amtrak.com/stations/ard,America/New_York,40.008278,-75.290399
ARK,Arkadelphia Amtrak Station,https://www.amtrak.com/stations/ark,America/Chicago,34.113919,-93.053284
ARN,Auburn Amtrak,https://www.amtrak.com/stations/arn,America/Los_Angeles,38.903638,-121.083187
ASD,Ashland Amtrak,https://www.amtrak.com/stations/asd,America/New_York,37.759596,-77.481304
ATA,Atascadero Amtrak Bus Stop,https://www.amtrak.com/stations/ata,America/Los_Angeles,35.488953,-120.66476
ATL,Atlanta,https://www.amtrak.com/stations/atl,America/New_York,33.799445,-84.392477
ATN,Anniston Amtrak Station,https://www.amtrak.com/stations/atn,America/Chicago,33.649112,-85.832145
AUS,Austin,https://www.amtrak.com/stations/aus,America/Chicago,30.269449,-97.75694
AVO,Avon,https://www.amtrak.com/stations/avo,America/New_York,42.911182,-77.746278
AWN,Allentown,https://www.amtrak.com/stations/awn,America/New_York,40.605594,-75.462473
BAH,Bath,https://www.amtrak.com/stations/bah,America/New_York,42.33525,-77.31863
