trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
031643fa-7b53-4f34-8d01-94e82c59e0ff,07:10:00,07:10:00,AK_10006,1,,0,0,0.0000000,0
031643fa-7b53-4f34-8d01-94e82c59e0ff,07:35:00,07:35:00,AK_10005,2,,0,0,43311.4107660,0
031643fa-7b53-4f34-8d01-94e82c59e0ff,07:57:00,07:57:00,AK_10004,3,,0,0,125177.0133281,0
031643fa-7b53-4f34-8d01-94e82c59e0ff,08:10:00,08:10:00,AK_10003,4,,0,0,230344.0930456,0
031643fa-7b53-4f34-8d01-94e82c59e0ff,08:50:00,08:50:00,AK_10002,5,,0,0,392000.7478909,0
031643fa-7b53-4f34-8d01-94e82c59e0ff,09:11:00,09:11:00,AK_10001,6,,0,0,581907.5892789,0
031643fa-7b53-4f34-8d01-94e82c59e0ff,09:45:00,09:45:00,AK_10000,7,,0,0,793074.6930004,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,08:20:00,08:20:00,STOP_2f3de340-9e78-4768-b778-84f737c21446,1,,0,0,0.0000000,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,08:44:00,08:44:00,STOP_87d4ae01-12f2-4141-aeb1-9255c53f5709,2,,0,0,32277.7948928,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,08:59:00,08:59:00,STOP_831f8468-8d0f-4ff3-a5b2-cc638c3cd898,3,,0,0,85499.5172354,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,09:34:00,09:34:00,STOP_b73bed07-3f56-45b8-8bf7-3689b7267379,4,,0,0,137359.5556279,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,09:54:00,09:54:00,STOP_936935d2-df44-405e-a10c-4c42ca844fb2,5,,0,0,193472.0604416,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,10:16:00,10:18:00,STOP_fdb7e692-36a9-4389-b77e-7209cfa03995,6,,0,0,258285.7967041,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,10:34:00,12:30:00,STOP_1473715,7,,0,0,323756.6073042,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,13:05:00,13:05:00,AK_10020,8,,0,0,418330.1950207,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,13:19:00,13:19:00,AK_10019,9,,0,0,515919.4967164,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,14:13:00,14:13:00,AK_10018,10,,0,0,669083.1768056,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,15:28:00,15:28:00,AK_10017,11,,0,0,936836.7165623,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,16:11:00,16:11:00,AK_10016,12,,0,0,1258943.3449571,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,16:29:00,16:29:00,AK_10015,13,,0,0,1601140.1696965,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,17:30:00,17:30:00,STOP_1473616,14,,0,0,2026823.8088567,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,18:27:00,18:27:00,AK_10007,15,,0,0,2478030.4291287,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,18:55:00,19:15:00,AK_10006,16,,0,0,2950019.4097039,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,19:40:00,19:40:00,AK_10005,17,,0,0,3430958.7309192,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,20:01:00,20:01:00,AK_10004,18,,0,0,3914553.1630544,0
04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,20:15:00,20:15:00,AK_10003,19,,0,0,4409789.3021732,0
